CASE,DATE,YEAR,DECADE,EFFECT,STAT NAME,PL #,S-DATE,TIME TO DECISION,CONGRESS,AREA1,LNDMRK,LNDDTL,ATT GEN,CERT,REVERSD,CRS,GVT PRTY,DISSENT,H-CT
United States v. Anderson,6/10/46,1946,1940,upheld,Selective Training and Service Act of 1940,76-783,9/16/40,69,76,Due Process,1.0,0.0,1,0,1.0,0.0,1,0,0
American Tobacco Co. v. United States,6/10/46,1946,1940,upheld,Sherman Anti-Trust Act,,7/2/1890,671,51,Due Process,1.0,0.0,1,1,0.0,0.0,1,0,1
Cleveland v. United States,11/18/46,1946,1940,upheld,White Slave Traffic Act,61-277,6/25/10,437,61,Federalism,1.0,1.0,1,1,0.0,0.0,1,3,1
United States v. Carmack,12/9/46,1946,1940,upheld,53 Stat. 1427,76-400,4/25/39,92,76,Economic,0.0,0.0,1,1,1.0,0.0,1,0,0
Champlin Refining Co. v. United States,11/18/46,1946,1940,upheld,Communications Act of 1934,73-416,6/10/34,149,73,Federalism,0.0,0.0,1,0,0.0,0.0,1,4,0
American Power & Light Company v. SEC,11/25/46,1946,1940,upheld,Public Utility Act of 1935,74-333,8/26/35,135,74,Federalism,1.0,0.0,1,1,0.0,0.0,1,2,0
Board of Governors of Federal Reserve System v. Agnew,1/6/47,1947,1940,upheld,Banking Act of 1935,74-305,8/23/35,137,74,Separation of Powers,1.0,0.0,1,1,1.0,0.0,1,0,0
Gardner v. New Jersey,1/20/47,1947,1940,upheld,Bankruptcy Act of 1898 Amendments,74-381,8/27/35,137,74,Federalism,0.0,0.0,0,1,1.0,0.0,1,0,0
Oklahoma v. United States Civil Service Commission,2/10/47,1947,1940,upheld,Hatch Act,76-252,8/2/39,91,75,Federalism,1.0,1.0,1,1,0.0,0.0,1,3,0
Testa v. Katt,3/10/47,1947,1940,upheld,Emergency Price Control Act of 1942,77-421,1/30/42,62,77,Federalism,1.0,0.0,1,1,1.0,0.0,0,0,0
United Public Workers v. Mitchell,2/10/47,1947,1940,upheld,Hatch Act,76-252,8/2/39,91,76,Substantive Rights,1.0,1.0,1,0,0.0,0.0,1,3,0
Fleming v. Rhodes,4/28/47,1947,1940,upheld,Price Control Extension Act of 1946,79-548,7/25/46,9,79,Economic,0.0,0.0,1,0,1.0,0.0,1,1,0
United States v. Walsh,5/19/47,1947,1940,upheld,"Federal Food, Drug, and Cosmetic Act",75-717,6/25/38,107,75,Federalism,1.0,1.0,1,0,1.0,0.0,1,1,0
United States v. Petrillo,6/23/47,1947,1940,upheld,60 stat. 89,79-344,4/16/46,14,79,Due Process,0.0,0.0,1,0,1.0,0.0,1,3,0
Fahey v. Mallonee,6/23/47,1947,1940,upheld,Home Owners' Loan Act of 1933,73-43,6/13/33,168,73,Separation of Powers,1.0,0.0,1,0,1.0,0.0,1,0,0
United States v. Sullivan,1/19/48,1948,1940,upheld,"Federal Food, Drug, and Cosmetic Act",75-717,6/25/38,114,75,Federalism,1.0,1.0,1,1,1.0,0.0,1,3,0
Woods v. Cloyd W. Miller Co.,2/16/48,1948,1940,upheld,Housing and Rent Act of 1947,80-129,6/30/47,8,80,Federalism,0.0,0.0,1,0,1.0,0.0,1,0,1
United States v. Baltimore & O. R. Co.,3/8/48,1948,1940,upheld,Interstate Commerce Act,,2/4/1887,733,49,Economic,1.0,1.0,1,0,1.0,0.0,1,1,0
"Donaldson v. Read Magazine, Inc.",3/8/48,1948,1940,upheld,28 Stat. 964,,3/2/1895,636,53,Substantive Rights,0.0,0.0,1,1,1.0,0.0,1,2,0
Lichter v. United States,6/14/48,1948,1940,upheld,Sixth Supplemental National Defense Appropriation Act of 1942,77-528,4/28/42,74,77,Economic,0.0,0.0,1,1,0.0,0.0,1,2,0
Shapiro v. United States,6/21/48,1948,1940,upheld,Emergency Price Control Act of 1942,77-421,1/30/42,77,77,Due Process,1.0,0.0,1,1,0.0,0.0,1,4,0
United States v. Congress of Industrial Organizations,6/21/48,1948,1940,struck down as applied,Taft-Hartley Act,80-101,6/23/47,12,80,Substantive Rights,1.0,1.0,1,0,0.0,0.0,1,0,1
Ludecke v. Watkins,6/21/48,1948,1940,upheld,1 Stat. 577,5-53,7/6/1798,1811,5,Due Process,1.0,1.0,1,1,0.0,0.0,1,4,1
Vermilya-Brown Co. v. Connell,12/6/48,1948,1940,upheld,Fair Labor Standards Act of 1938,75-718,6/25/38,126,75,Economic,1.0,1.0,1,1,0.0,0.0,0,4,0
NLRB v. Stowe Spinning Co.,2/28/49,1949,1940,upheld,National Labor Relations Act,74-198,7/5/35,163,74,Economic,1.0,1.0,1,1,1.0,0.0,1,3,0
"FCC v. WJR, Goodwill Station",6/6/49,1949,1940,upheld,Communications Act of 1934,73-416,6/19/34,180,73,Due Process,1.0,0.0,1,1,1.0,0.0,1,0,0
United States v. Cors,6/13/49,1949,1940,upheld,Merchant Marine Act of 1936,74-835,6/29/36,156,74,Economic,1.0,0.0,1,1,1.0,0.0,1,4,0
National Mutual Insurance Co. v. Tidewater Transfer Co.,6/20/49,1949,1940,upheld,54 Stat. 143,76-464,4/20/40,110,76,Separation of Powers,0.0,0.0,1,1,1.0,0.0,0,4,0
Graham v. Brotherhood of Locomotive Firemen & Enginemen,11/71/1949,1949,1940,upheld,54 Stat. 143,76-464,4/20/40,115,76,Separation of Powers,0.0,0.0,1,1,1.0,0.0,0,0,0
Wilmette Park District v. Campbell,12/12/49,1949,1940,upheld,Revenue Act of 1932,72-154,6/6/32,210,72,Federalism,0.0,0.0,1,1,0.0,0.0,1,0,0
United States ex rel. Knauff v. Shaughnessy,1/16/50,1950,1950,upheld,Alien Visa Act,77-114,6/21/41,103,77,Separation of Powers,0.0,0.0,1,1,0.0,0.0,1,3,0
Secretary of Agriculture v. Central Roig Refining Co.,2/6/50,1950,1950,upheld,Sugar Act of 1948,80-388,8/8/47,30,80,Economic,0.0,0.0,1,1,1.0,0.0,1,1,1
United States v. Morton Salt Co.,2/6/50,1950,1950,upheld,Federal Trade Commission Act,63-203,9/26/14,425,63,Due Process,1.0,1.0,1,1,1.0,0.0,1,0,0
Wong Yang Sung v. McGrath,2/20/50,1950,1950,struck down as applied,Immigration Act of 1917,64-301,2/5/17,396,64,Due Process,1.0,0.0,1,1,1.0,0.0,1,1,0
American Communications Association v. Douds,5/8/50,1950,1950,upheld,Taft-Hartley Act,80-101,6/23/47,35,80,Substantive Rights,1.0,1.0,1,0,0.0,0.0,1,3,1
"Ewing v. Mytinger & Casselberry, Inc.",5/29/50,1950,1950,upheld,"Federal Food, Drug, and Cosmetic Act",75-717,6/25/38,143,75,Due Process,1.0,0.0,1,0,1.0,0.0,1,2,0
United States v. Texas,6/5/50,1950,1950,upheld,5 Stat. 797,,3/1/1845,1263,28,Economic,1.0,0.0,1,0,0.0,0.0,1,3,0
Whelchel v. McDonald,12/4/50,1950,1950,upheld,Federal Possession and Control Act (Railroads in War),64-242,8/29/16,411,64,Due Process,0.0,0.0,1,1,0.0,0.0,1,0,0
United States v. Rock Island Motor Transit Co.,2/26/51,1951,1950,upheld,Interstate Commerce Act Amendment,74-255,8/9/35,186,74,Economic,1.0,0.0,1,0,1.0,0.0,1,4,0
Joint Anti-Fascist Refugee Committee v. McGrath,4/30/51,1951,1950,struck down as applied,Hatch Act,76-252,8/2/39,140,76,Due Process,1.0,0.0,1,1,1.0,0.0,1,3,0
Tenney v. Brandhove,5/21/51,1951,1950,struck down as applied,Civil Rights Act of 1871,,4/20/1871,961,42,Federalism,1.0,1.0,0,1,1.0,0.0,0,1,1
Dennis v. United States,6/4/51,1951,1950,upheld,Alien Registration Act of 1940,76-670,6/28/40,132,76,Substantive Rights,1.0,1.0,1,1,0.0,0.0,1,2,0
Collins v. Handyman,6/4/51,1951,1950,struck down as applied,Civil Rights Act of 1871,,4/20/1871,961,42,Federalism,1.0,1.0,0,1,1.0,0.0,0,3,1
International Brotherhood of Electrical Workers et al. v. National Labor Relations Board,6/4/51,1951,1950,upheld,Taft-Hartley Act,80-101,6/23/47,48,80,Substantive Rights,1.0,1.0,1,1,0.0,0.0,1,3,1
Williams v. United States,4/23/51,1951,1950,upheld,Penal Law Codification of 1909,60-350,3/4/09,505,60,Due Process,1.0,1.0,1,1,0.0,0.0,1,4,1
Lorain Journal Co. v. United States,12/11/51,1951,1950,upheld,Sherman Anti-Trust Act,,7/2/1890,737,51,Federalism,1.0,1.0,1,0,0.0,0.0,1,0,1
Guessefeldt v. McGrath,1/28/52,1952,1950,struck down as applied,War Claims Act of 1948,80-896,7/3/48,42,80,Economic,0.0,0.0,1,1,1.0,0.0,1,3,1
Cities Service Co. v. McGrath,1/28/52,1952,1950,upheld,First War Powers Act of 1941,77-354,12/18/41,121,77,Economic,1.0,0.0,1,1,0.0,0.0,1,0,0
Carson v. Landon,3/10/52,1952,1950,upheld,Internal Security Act of 1950,81-831,9/23/50,18,81,Separation of Powers,1.0,0.0,1,0,0.0,0.0,1,4,0
Harisiades v. Shaughnessy,3/10/52,1952,1950,upheld,Alien Registration Act of 1940,76-670,6/28/40,141,76,Substantive Rights,1.0,0.0,1,1,0.0,0.0,1,2,0
United States v. Spector,4/7/52,1952,1950,upheld,Internal Security Act of 1950,81-831,9/23/50,19,81,Due Process,1.0,0.0,1,0,1.0,0.0,1,3,0
United States v. Cardiff,12/8/52,1952,1950,struck down on face,"Federal Food, Drug, and Cosmetic Act",75-717,6/25/38,174,75,Due Process,1.0,0.0,1,1,0.0,1.0,1,1,0
American Trucking Association v. United States,1/12/53,1953,1950,upheld,Interstate Commerce Act Amendment,74-255,8/9/35,89,74,Economic,1.0,0.0,1,0,0.0,0.0,1,2,0
Kwong Hai Chew v. Colding,2/9/53,1953,1950,struck down as applied,Alien Visa Act,77-114,6/21/41,140,77,Due Process,0.0,0.0,1,1,1.0,0.0,1,1,0
Baltimore & Ohio Railroad Company v. United States,3/16/53,1953,1950,upheld,Transportation Act of 1920,66-152,2/28/20,277,66,Economic,1.0,1.0,1,0,0.0,0.0,1,2,1
Shaughnessy v. United States,3/16/53,1953,1950,upheld,Alien Visa Act,77-114,6/14/41,141,77,Due Process,0.0,0.0,1,1,1.0,0.0,1,4,0
United States v. Kahriger,3/9/53,1953,1950,upheld,Revenue Act of 1951,82-183,10/20/51,17,82,Federalism,0.0,0.0,1,0,1.0,0.0,1,3,0
Dameron v. Brodhead,4/6/53,1953,1950,upheld,Soldiers' and Sailors' Civil Relief Act Amendment,78-415,7/3/44,105,78,Federalism,0.0,0.0,1,1,1.0,0.0,0,2,0
United States v. Certain Parcels of Land,4/6/53,1953,1950,upheld,55 Stat. 361,77-137,6/28/41,142,77,Economic,0.0,0.0,1,1,1.0,0.0,1,2,0
United States v. Nugent,6/8/53,1953,1950,upheld,Selective Training and Service Act of 1940,76-783,9/16/40,153,76,Due Process,0.0,0.0,1,1,1.0,0.0,1,3,0
District of Columbia v. John R. Thompson Co.,6/8/53,1953,1950,upheld,20 Stat. 102,,6/11/1878,900,45,Federalism,1.0,0.0,1,1,1.0,0.0,1,0,0
United States v. Five Gambling Devices,12/7/53,1953,1950,struck down as applied,Gambling Devices Transportation Act,81-906,1/2/51,35,81,Federalism,0.0,0.0,1,0,0.0,0.0,1,7,0
Adams v. Maryland,3/8/54,1954,1950,upheld,Attendance of Witnesses Before Congress Act,,1/24/1857,1166,34,Federalism,0.0,0.0,0,1,1.0,0.0,0,0,1
Alabama v. Texas,3/15/54,1954,1950,upheld,67 Stat. 29,83-30,5/22/53,10,83,Federalism,1.0,1.0,1,0,0.0,0.0,0,2,1
Bolling v. Sharpe,5/17/54,1954,1950,struck down on face,18 Stat. 281,,6/22/1874,899,43,Equality,0.0,0.0,1,1,0.0,1.0,1,0,1
Galvan v. Press,5/24/54,1954,1950,upheld,Internal Security Act of 1950,81-831,9/23/50,44,81,Due Process,1.0,0.0,1,1,0.0,0.0,1,2,0
United States v. Harriss,6/7/54,1954,1950,upheld,Legislative Reorganization Act of 1946,79-601,8/2/46,94,79,Due Process,1.0,1.0,1,0,1.0,0.0,1,3,0
Moore v. Mead's Fine Bread Co.,12/6/54,1954,1950,upheld,Antitrust Act of 1914 Amendment,74-692,6/19/36,222,74,Federalism,1.0,1.0,0,1,1.0,0.0,0,0,0
Berman v. Parker,11/22/54,1954,1950,upheld,District of Columbia Redevelopment Act of 1945,79-592,8/2/46,99,79,Economic,0.0,0.0,1,0,0.0,0.0,1,0,0
Tee-Hit-Ton Indians v. United States,2/7/55,1955,1950,upheld,61 Stat. 920,80-384,8/8/47,90,80,Economic,0.0,0.0,1,1,0.0,0.0,1,3,1
Lewis v. United States,3/14/55,1955,1950,upheld,Revenue Act of 1951,82-183,10/20/51,41,82,Economic,0.0,0.0,1,1,0.0,0.0,1,3,0
Association of Westinghouse Salaried Employees v. Westinghouse Electric Corp.,3/28/55,1955,1950,struck down as applied,Taft-Hartley Act,80-101,6/23/47,93,80,Separation of Powers,1.0,0.0,0,1,0.0,0.0,0,2,1
Quinn v. United States,5/23/55,1955,1950,struck down as applied,52 Stat. 942,75-700,6/22/38,203,75,Due Process,0.0,0.0,1,1,1.0,0.0,1,2,0
Emspak v. United States,5/23/55,1955,1950,struck down as applied,52 Stat. 942,75-700,6/22/38,203,75,Due Process,0.0,0.0,1,1,1.0,0.0,1,3,0
Marcello v. Bonds,5/31/55,1955,1950,upheld,Immigration and Nationality Act,82-414,6/27/52,35,82,Due Process,1.0,1.0,1,1,0.0,0.0,1,3,0
Federal Power Commission v. Oregon,6/6/55,1955,1950,upheld,Public Utility Act of 1935,74-333,8/26/35,298,74,Federalism,1.0,0.0,1,1,1.0,0.0,1,1,0
United States ex rel. Toth v. Quarles,11/7/55,1955,1950,struck down on face,Uniform Code of Military Justice,81-506,5/5/50,66,81,Due Process,0.0,0.0,1,1,1.0,1.0,1,3,0
Rex Trailer Co. v. United States,1/9/56,1956,1950,upheld,Surplus Property Act of 1944,78-457,10/3/44,135,78,Due Process,1.0,0.0,1,1,0.0,0.0,1,0,0
Bernhardt v. Polygraphic Co. of America,1/16/56,1956,1950,struck down as applied,Federal Arbitration Act of 1947,80-281,7/20/47,102,80,Federalism,0.0,0.0,0,1,1.0,0.0,0,1,1
Greenwood v. United States,3/5/56,1956,1950,upheld,63 Stat. 686,81-285,9/7/49,78,81,Federalism,0.0,0.0,1,1,0.0,0.0,1,0,0
Cammer v. United States,3/12/56,1956,1950,struck down as applied,Conspiracy Act of 1948,80-772,6/25/48,93,80,Due Process,0.0,0.0,1,1,1.0,0.0,1,0,1
United States v. Green,3/26/56,1956,1950,upheld,60 Stat. 420,79-486,7/3/46,152,79,Federalism,0.0,0.0,1,0,1.0,0.0,1,3,0
Ullman v. United States,3/26/56,1956,1950,upheld,68 Stat. 745,83-599,8/20/54,55,83,Due Process,0.0,0.0,1,1,0.0,0.0,1,3,1
Railway Employees' Department v. Hanson,5/21/56,1956,1950,upheld,Railway Labor Act Amendment,81-914,1/20/51,64,81,Economic,0.0,0.0,0,0,1.0,0.0,0,0,0
Kinsella v. Krueger,6/11/56,1956,1950,upheld,Uniform Code of Military Justice,81-506,5/5/50,73,81,Due Process,0.0,0.0,1,1,0.0,0.0,1,3,0
United States v. Witkovich,4/29/57,1957,1950,struck down as applied,Immigration and Nationality Act,82-414,6/27/52,58,82,Due Process,1.0,0.0,1,0,0.0,0.0,1,2,0
Textile Workers Union v. Lincoln Mills of Alabama,6/3/57,1957,1950,upheld,Taft-Hartley Act,80-101,6/23/47,120,80,Federalism,1.0,0.0,1,1,1.0,0.0,0,1,1
California v. Taylor,6/3/57,1957,1950,upheld,Railway Labor Act,73-442,6/21/34,276,73,Federalism,0.0,0.0,1,1,0.0,0.0,0,0,0
Lehmann v. United States,6/3/57,1957,1950,upheld,Federal-Aid Highway Act of 1952,82-413,6/27/52,60,82,Due Process,1.0,1.0,0,1,1.0,0.0,1,2,0
Reid v. Covert,2/27/57,1957,1950,struck down on face,Uniform Code of Military Justice,81-506,5/5/50,81,81,Due Process,0.0,0.0,1,0,1.0,1.0,1,2,0
Watkins v. United States,6/17/57,1957,1950,struck down as applied,Legislative Reorganization Act of 1946,79-601,8/2/46,130,79,Due Process,1.0,0.0,1,1,1.0,0.0,1,1,0
Yates v. United States,6/17/57,1957,1950,struck down as applied,Alien Registration Act of 1940,76-670,6/28/40,204,76,Substantive Rights,1.0,1.0,1,1,1.0,0.0,1,3,0
Roth v. United States,6/24/57,1957,1950,upheld,Crimes and Criminal Procedure Act,80-772,6/25/48,108,80,Substantive Rights,0.0,0.0,1,1,0.0,0.0,1,3,1
United States v. Sharpnack,1/13/58,1958,1950,upheld,Crimes and Criminal Procedure Act,80-772,6/25/48,115,80,Separation of Powers,0.0,0.0,1,0,1.0,0.0,1,2,1
Green v. United States,3/31/58,1958,1950,upheld,Crimes and Criminal Procedure Act,80-772,6/25/48,117,80,Due Process,0.0,0.0,1,1,0.0,0.0,1,4,1
Perez v. Brownell,3/31/58,1958,1950,upheld,Nationality Act of 1940 Amendment,78-431,9/27/44,162,78,Substantive Rights,0.0,0.0,1,1,0.0,0.0,1,4,0
Trop v. Dulles,3/31/58,1958,1950,struck down on face,Nationality Act of 1940 Amendment,78-221,1/20/44,170,78,Substantive Rights,0.0,0.0,1,1,1.0,1.0,1,4,0
Kent v. Dulles,6/16/58,1958,1950,struck down as applied,Immigration and Nationality Act,82-414,6/27/52,72,82,Substantive Rights,1.0,0.0,1,1,1.0,0.0,1,4,0
Ivanhoe Irrigation District v. McCracken,6/23/58,1958,1950,upheld,70 Stat. 524,84-691,7/11/56,23,84,Economic,0.0,0.0,1,0,1.0,0.0,1,0,1
Gore v. United States,6/30/58,1958,1950,upheld,65 Stat. 767,82-255,11/2/51,79,82,Due Process,0.0,0.0,1,1,0.0,0.0,1,4,0
"Federal Housing Administration v. Darlington, Inc.",11/24/58,1958,1950,upheld,Housing Act of 1954,83-560,8/2/54,51,83,Economic,1.0,0.0,1,0,1.0,0.0,1,3,1
Lee v. Madigan,1/12/59,1959,1950,struck down as applied,Uniform Code of Military Justice,81-506,5/5/50,104,81,Due Process,0.0,0.0,1,1,0.0,0.0,1,2,0
Cammarano v. United States,2/24/59,1959,1950,upheld,Revenue Act of 1939,76-155,6/29/39,236,76,Substantive Rights,0.0,0.0,1,1,0.0,0.0,1,0,0
Barenblatt v. United States,6/8/59,1959,1950,upheld,52 Stat. 942,75-700,6/22/38,252,75,Due Process,0.0,0.0,1,1,1.0,0.0,1,4,0
National Labor Relations Board v. Cabot Carbon Co.,6/8/59,1959,1950,upheld,Taft-Hartley Act,80-101,6/23/47,144,80,Substantive Rights,1.0,0.0,1,1,0.0,0.0,1,0,1
Palermo v. United States,6/22/59,1959,1950,upheld,71 stat. 595,85-269,9/2/57,21,85,Separation of Powers,0.0,0.0,1,1,0.0,0.0,1,0,0
Pennsylvania Railroad Co. v. Day,6/29/59,1959,1950,upheld,Railway Labor Act,73-442,6/21/34,300,73,Due Process,0.0,0.0,0,1,1.0,0.0,1,3,0
Braen v. Pfeifer Oil Transportation Co.,12/14/59,1959,1950,upheld,Merchant Marine Act of 1920,66-261,6/5/20,462,66,Federalism,1.0,0.0,0,1,1.0,0.0,0,3,1
United Steelworkers of America v. United States,11/7/59,1959,1950,upheld,Taft-Hartley Act,80-101,6/23/47,149,80,Separation of Powers,1.0,1.0,1,1,0.0,0.0,1,0,1
Kinsella v. United States,1/18/60,1960,1960,struck down as applied,Revision of Code relating to Armed Services,84-1028,8/10/56,41,84,Due Process,0.0,0.0,1,1,1.0,1.0,1,2,0
Grisham v. Hagan,1/18/60,1960,1960,struck down as applied,Revision of Code relating to Armed Services,84-1028,8/10/56,41,84,Due Process,0.0,0.0,1,1,1.0,1.0,1,2,0
McElroy v. United States,1/18/60,1960,1960,struck down as applied,Revision of Code relating to Armed Services,84-1028,8/10/56,41,84,Due Process,0.0,0.0,1,0,0.0,1.0,1,4,0
United States v. Raines,2/29/60,1960,1960,upheld,Civil Rights Act of 1957,85-315,9/9/57,29,85,Federalism,1.0,1.0,1,0,1.0,0.0,1,0,0
United States v. Manufacturers National Bank,6/13/60,1960,1960,upheld,Revenue Act of 1942,77-753,10/21/42,212,77,Due Process,1.0,0.0,1,0,1.0,0.0,1,0,0
Hannah v. Larche,6/20/60,1960,1960,upheld,Civil Rights Act of 1957,85-315,9/9/57,33,85,Due Process,1.0,1.0,1,0,1.0,0.0,1,2,0
Flemming v. Nestor,6/20/60,1960,1960,upheld,Social Security Amendments of 1954,83-761,9/1/54,69,83,Due Process,0.0,0.0,1,0,1.0,0.0,1,4,1
Reina v. United States,12/19/60,1960,1960,upheld,Narcotic Control Act of 1956,84-728,7/18/56,53,84,Federalism,1.0,0.0,1,1,0.0,0.0,1,2,0
Gonzales v. United States,6/27/60,1960,1960,upheld,Selective Service Act of 1948,80-759,6/24/48,144,80,Due Process,0.0,0.0,1,1,0.0,0.0,1,4,1
Travis v. United States,1/16/61,1961,1960,struck down as applied,Crimes and Criminal Procedure Act,80-772,6/25/48,151,80,Due Process,0.0,0.0,1,1,1.0,0.0,1,3,1
Eastern Railroad Presidents Conference v. Noerr Motor Freight Inc.,2/20/61,1961,1960,struck down as applied,Sherman Anti-Trust Act,,7/2/1890,847,51,Substantive Rights,1.0,1.0,0,1,1.0,0.0,0,0,1
Wilkinson v. United States,2/27/61,1961,1960,upheld,52 Stat. 942,75-700,6/22/38,356,75,Substantive Rights,0.0,0.0,1,1,0.0,0.0,1,4,0
Braden v. United States,2/27/61,1961,1960,upheld,52 Stat. 942,75-700,6/22/38,356,75,Substantive Rights,0.0,0.0,1,1,0.0,0.0,1,4,0
United States v. Oregon,5/29/61,1961,1960,upheld,36 Stat. 736,61-266,6/25/10,731,61,Federalism,0.0,0.0,1,1,1.0,0.0,1,2,1
Communist Party of United States v. Subversive Activities Control Board,6/5/61,1961,1960,upheld,Internal Security Act of 1950,81-831,9/23/50,129,81,Due Process,1.0,1.0,1,1,0.0,0.0,1,4,0
Scales v. United States,6/5/61,1961,1960,upheld,Internal Security Act of 1950,81-831,9/23/50,129,81,Due Process,1.0,0.0,1,1,0.0,0.0,1,4,0
International Association of Machinists v. Street,6/19/61,1961,1960,struck down as applied,Railway Labor Act Amendment,81-914,1/10/51,125,81,Substantive Rights,0.0,0.0,1,0,1.0,0.0,0,4,0
Cafeteria & Restaurant Workers Union v. McElroy,6/19/61,1961,1960,upheld,12 Stat. 565,,7/14/1862,1187,37,Due Process,0.0,0.0,1,1,0.0,0.0,1,4,1
Killian v. United States,10/10/61,1961,1960,upheld,Taft-Hartley Act,80-101,6/23/47,172,80,Substantive Rights,1.0,1.0,1,1,0.0,0.0,1,4,1
Hutcheson v. United States,5/14/62,1962,1960,upheld,52 Stat. 942,75-700,6/22/38,287,75,Separation of Powers,0.0,0.0,1,1,0.0,0.0,1,2,0
Free v. Bland,5/21/62,1962,1960,upheld,Gold Reserve Act of 1934,73-87,1/30/34,340,73,Federalism,0.0,0.0,1,1,1.0,0.0,0,0,0
Lynch v. Overholser,5/21/62,1962,1960,struck down as applied,59 Stat. 311,79-111,7/2/45,202,79,Due Process,0.0,0.0,1,1,1.0,0.0,1,1,0
State Board of Insurance v. Todd Shipyards Corp.,6/25/62,1962,1960,upheld,59 Stat. 33,79-15,3/9/45,207,79,Federalism,1.0,1.0,1,1,1.0,0.0,0,1,0
"Manual Enterprises, Inc. v. Day",6/25/62,1962,1960,struck down as applied,69 Stat. 183,84-95,6/28/55,84,84,Substantive Rights,0.0,0.0,0,1,0.0,0.0,1,1,0
Glidden Co. v. Zdanok,6/25/62,1962,1960,upheld,70 Stat. 532,84-703,7/14/56,71,84,Due Process,0.0,0.0,1,1,0.0,0.0,0,2,0
Kennedy v. Mendoza-Martinez,2/18/63,1963,1960,struck down on face,Immigration and Nationality Act,82-414,6/27/52,128,82,Due Process,1.0,0.0,1,0,1.0,1.0,1,4,0
United States v. National Dairy Products Corpt.,2/18/63,1963,1960,upheld,Antitrust Act of 1914 Amendment,74-692,6/19/36,356,74,Due Process,1.0,1.0,1,0,0.0,0.0,1,3,0
Sperry v. Florida,5/27/63,1963,1960,upheld,66 Stat. 795,82-593,7/19/52,130,82,Federalism,0.0,0.0,1,1,0.0,0.0,0,0,0
Arizona v. California,6/3/63,1963,1960,upheld,45 Stat. 1057,70-642,12/21/28,414,70,Federalism,1.0,0.0,1,0,0.0,0.0,0,3,1
Reisman v. Caplin,1/20/64,1964,1960,upheld,Renegotiation Act Extension,83-746,8/16/54,113,83,Due Process,1.0,0.0,1,1,0.0,0.0,1,0,1
United States v. Barnett,4/6/64,1964,1960,upheld,Clayton Anti-Trust Act,63-212,10/15/14,594,63,Due Process,1.0,1.0,1,0,0.0,0.0,1,4,0
Schneider v. Rusk,5/18/64,1964,1960,struck down on face,Immigration and Nationality Act,82-414,6/27/52,143,82,Due Process,1.0,0.0,0,1,1.0,1.0,1,3,0
Parden v. Terminal Railway of the Alabama State Docks Department,5/18/64,1964,1960,upheld,Employers' Liability Act of 1908 (Railroads),60-100,4/22/08,673,60,Federalism,1.0,1.0,1,0,1.0,0.0,0,4,1
Aptheker v. Secretary of State,6/22/64,1964,1960,struck down on face,Internal Security Act of 1950,81-831,9/23/50,165,81,Substantive Rights,1.0,1.0,1,0,1.0,1.0,1,3,0
Schlagenhauf v. Holder,11/24/64,1964,1960,upheld,Communications Act of 1934,73-416,6/19/34,365,73,Substantive Rights,0.0,0.0,0,1,0.0,0.0,0,4,0
"Heart of Atlanta Motel, Inc. v. United States",12/14/64,1964,1960,upheld,Civil Rights Act of 1964,88-352,7/2/64,5,88,Federalism,1.0,1.0,1,0,1.0,0.0,1,0,0
Katzenbach v. McClung,12/14/64,1964,1960,upheld,Civil Rights Act of 1964,88-352,7/2/64,5,88,Federalism,1.0,1.0,1,0,0.0,0.0,1,0,0
United States v. Mississippi,3/8/65,1965,1960,upheld,Civil Rights Act of 1960,86-449,5/6/60,58,86,Federalism,1.0,1.0,1,0,1.0,0.0,1,0,0
Singer v. United States,3/1/65,1965,1960,upheld,54 Stat. 688,76-675,6/29/40,297,76,Due Process,0.0,0.0,1,1,0.0,0.0,1,0,0
Hanna v. Plumer,4/26/65,1965,1960,upheld,Judiciary and Judicial Procedure Act,80-773,6/25/48,202,80,Federalism,0.0,0.0,0,1,1.0,0.0,0,0,1
United States v. Gainey,3/1/65,1965,1960,upheld,Excise Tax Technical Changes Act of 1958,85-859,9/2/58,78,85,Due Process,0.0,0.0,1,1,1.0,0.0,1,2,0
Zemel v. Rusk,5/3/65,1965,1960,upheld,Walsh Act,69-493,7/3/26,466,69,Substantive Rights,0.0,0.0,1,0,0.0,0.0,1,3,1
United States v. Atlas Life Insurance Co.,5/17/65,1965,1960,upheld,Life Insurance Company Income Tax Act of 1959,86-69,6/25/59,71,86,Federalism,0.0,0.0,1,1,1.0,0.0,1,0,0
Lamont v. Postmaster General,5/24/65,1965,1960,struck down on face,Postal Service and Federal Employees Salary Act of 1962,87-793,10/11/62,31,87,Substantive Rights,0.0,0.0,1,0,0.0,1.0,1,0,0
United States v. Brown,6/7/65,1965,1960,struck down on face,Labor-Management Reporting and Disclosure Act,86-257,9/14/59,69,86,Separation of Powers,1.0,0.0,1,1,0.0,1.0,1,4,0
United States v. Romano,11/22/65,1965,1960,struck down as applied,Excise Tax Technical Changes Act of 1958,85-859,9/2/58,86,85,Due Process,0.0,0.0,1,1,0.0,1.0,1,0,0
Albertson v. Subversive Activities Control Board,11/15/65,1965,1960,struck down as applied,Internal Security Act of 1950,81-831,9/23/50,182,81,Due Process,1.0,1.0,1,1,1.0,1.0,1,0,0
Katchen v. Landy,1/17/66,1966,1960,upheld,Bankruptcy Act of 1898 Amendments,75-696,6/22/38,331,75,Due Process,1.0,0.0,0,1,0.0,0.0,0,2,0
