CASE,CITATION,DATE,YEAR,DECADE,DECISION,DECISION2,EFFECT,STAT NAME,STAT CITE,PL #,S-DATE,TIME TO DECISION,CONGRESS,AREA1,AREA2,LNDMRK,LNDDTL,ATT GEN,CERT,REVERSD,CRS,GVT PRTY,DISSENT,H-CT
North American Company v. SEC,327 U.S. 686,4/1/46,1946,1940,0,0,upheld,Public Utility Act of 1935,49 Stat. 803,74-333,8/26/35,128,74,5,4,1,1,1,1,0,0,1,0,0
Case v. Bowles,327 U.S. 92,2/4/46,1946,1940,0,0,upheld,59 Stat. 306,59 Stat. 306,79-108,6/30/45,8,79,5,6,0,0,1,1,0,0,1,1,0
United States v. Causby,328 U.S. 256,5/27/46,1946,1940,1,1,struck down as applied,Civil Aeronautics Act of 1938,52 Stat. 973,75-706,6/23/38,95,75,4,,1,0,1,1,1,0,1,2,0
United States v. Lovett,328 U.S. 303,6/3/46,1946,1940,2,1,struck down on face,Urgent Deficiency Appropriation Act of 1943,57 Stat. 450,78-132,7/12/43,35,78,6,1,0,0,1,1,0,1,1,0,0
Prudential Insurance Co. v. Benjamin,328 U.S. 408,6/3/46,1946,1940,0,0,upheld,59 Stat. 33,59 Stat. 33,79-15,3/9/45,15,79,4,5,1,1,0,0,0,0,0,0,0
Davis v. United States,328 U.S. 582,6/10/46,1946,1940,0,0,upheld,56 Stat. 177,56 Stat. 177,77-503,3/27/42,51,77,4,1,1,0,1,1,0,0,1,3,0
Knauer v. United States,328 U.S. 654,6/10/46,1946,1940,0,0,upheld,Nationality Act of 1940,54 Stat. 1158,76-853,10/14/40,68,76,2,1,0,0,1,1,0,0,1,2,0
United States v. Anderson,328 U.S. 699,6/10/46,1946,1940,0,0,upheld,Selective Training and Service Act of 1940,54 Stat. 894,76-783,9/16/40,69,76,1,,1,0,1,0,1,0,1,0,0
American Tobacco Co. v. United States,328 U.S. 781,6/10/46,1946,1940,0,0,upheld,Sherman Anti-Trust Act,26 Stat. 209,,7/2/1890,671,51,1,,1,0,1,1,0,0,1,0,1
Cleveland v. United States,329 U.S. 14,11/18/46,1946,1940,0,0,upheld,White Slave Traffic Act,36 Stat. 825,61-277,6/25/10,437,61,5,,1,1,1,1,0,0,1,3,1
United States v. Carmack,329 U.S. 230,12/9/46,1946,1940,0,0,upheld,53 Stat. 1427,53 Stat. 1427,76-400,4/25/39,92,76,4,5,0,0,1,1,1,0,1,0,0
Champlin Refining Co. v. United States,329 U.S. 29,11/18/46,1946,1940,0,0,upheld,Communications Act of 1934,48 Stat. 1102,73-416,6/10/34,149,73,5,4,0,0,1,0,0,0,1,4,0
American Power & Light Company v. SEC,329 U.S. 90,11/25/46,1946,1940,0,0,upheld,Public Utility Act of 1935,49 Stat. 821,74-333,8/26/35,135,74,5,6,1,0,1,1,0,0,1,2,0
Board of Governors of Federal Reserve System v. Agnew,329 U.S. 441,1/6/47,1947,1940,0,0,upheld,Banking Act of 1935,49 Stat. 709,74-305,8/23/35,137,74,6,,1,0,1,1,1,0,1,0,0
Gardner v. New Jersey,329 U.S. 565,1/20/47,1947,1940,0,0,upheld,Bankruptcy Act of 1898 Amendments,49 Stat. 911,74-381,8/27/35,137,74,5,,0,0,0,1,1,0,1,0,0
Oklahoma v. United States Civil Service Commission,330 U.S. 127,2/10/47,1947,1940,0,0,upheld,Hatch Act,53 Stat. 1147,76-252,8/2/39,91,75,5,,1,1,1,1,0,0,1,3,0
Testa v. Katt,330 U.S. 386,3/10/47,1947,1940,0,0,upheld,Emergency Price Control Act of 1942,56 Stat. 34,77-421,1/30/42,62,77,5,,1,0,1,1,1,0,0,0,0
United Public Workers v. Mitchell,330 U.S. 75,2/10/47,1947,1940,0,0,upheld,Hatch Act,53 Stat. 1147,76-252,8/2/39,91,76,2,,1,1,1,0,0,0,1,3,0
Fleming v. Rhodes,331 U.S. 100,4/28/47,1947,1940,0,0,upheld,Price Control Extension Act of 1946,60 Stat. 664,79-548,7/25/46,9,79,4,,0,0,1,0,1,0,1,1,0
United States v. Walsh,331 U.S. 432,5/19/47,1947,1940,0,0,upheld,"Federal Food, Drug, and Cosmetic Act",52 stat. 1042,75-717,6/25/38,107,75,5,,1,1,1,0,1,0,1,1,0
United States v. Petrillo,332 U.S. 1,6/23/47,1947,1940,0,0,upheld,60 stat. 89,60 stat. 89,79-344,4/16/46,14,79,1,4,0,0,1,0,1,0,1,3,0
Fahey v. Mallonee,332 U.S. 245,6/23/47,1947,1940,0,0,upheld,Home Owners' Loan Act of 1933,48 stat. 133,73-43,6/13/33,168,73,6,,1,0,1,0,1,0,1,0,0
United States v. Sullivan,332 U.S. 689,1/19/48,1948,1940,0,0,upheld,"Federal Food, Drug, and Cosmetic Act",52 Stat. 1042,75-717,6/25/38,114,75,5,,1,1,1,1,1,0,1,3,0
Woods v. Cloyd W. Miller Co.,333 U.S. 138,2/16/48,1948,1940,0,0,upheld,Housing and Rent Act of 1947,61 Stat. 196,80-129,6/30/47,8,80,5,4,0,0,1,0,1,0,1,0,1
United States v. Baltimore & O. R. Co.,333 U.S. 169,3/8/48,1948,1940,0,0,upheld,Interstate Commerce Act,24 Stat. 379,,2/4/1887,733,49,4,,1,1,1,0,1,0,1,1,0
"Donaldson v. Read Magazine, Inc.",333 U.S. 178,3/8/48,1948,1940,0,0,upheld,28 Stat. 964,28 Stat. 964,,3/2/1895,636,53,2,,0,0,1,1,1,0,1,2,0
Lichter v. United States,334 U.S. 742,6/14/48,1948,1940,0,0,upheld,Sixth Supplemental National Defense Appropriation Act of 1942,56 Stat. 245,77-528,4/28/42,74,77,4,5,0,0,1,1,0,0,1,2,0
Shapiro v. United States,335 U.S. 1,6/21/48,1948,1940,0,0,upheld,Emergency Price Control Act of 1942,56 Stat. 30,77-421,1/30/42,77,77,1,,1,0,1,1,0,0,1,4,0
United States v. Congress of Industrial Organizations,335 U.S. 106,6/21/48,1948,1940,1,1,struck down as applied,Taft-Hartley Act,61 Stat. 159,80-101,6/23/47,12,80,2,,1,1,1,0,0,0,1,0,1
Ludecke v. Watkins,335 U.S. 160,6/21/48,1948,1940,0,0,upheld,1 Stat. 577,1 Stat. 577,5-53,7/6/1798,1811,5,1,,1,1,1,1,0,0,1,4,1
Vermilya-Brown Co. v. Connell,335 U.S. 377,12/6/48,1948,1940,0,0,upheld,Fair Labor Standards Act of 1938,52 Stat. 1060,75-718,6/25/38,126,75,4,,1,1,1,1,0,0,0,4,0
NLRB v. Stowe Spinning Co.,336 U.S. 226,2/28/49,1949,1940,0,0,upheld,National Labor Relations Act,49 Stat. 449,74-198,7/5/35,163,74,4,,1,1,1,1,1,0,1,3,0
"FCC v. WJR, Goodwill Station",337 U.S. 265,6/6/49,1949,1940,0,0,upheld,Communications Act of 1934,48 Stat. 1081,73-416,6/19/34,180,73,1,,1,0,1,1,1,0,1,0,0
United States v. Cors,337 U.S. 325,6/13/49,1949,1940,0,0,upheld,Merchant Marine Act of 1936,49 Stat. 2015,74-835,6/29/36,156,74,4,,1,0,1,1,1,0,1,4,0
National Mutual Insurance Co. v. Tidewater Transfer Co.,337 U.S. 582,6/20/49,1949,1940,0,0,upheld,54 Stat. 143,54 Stat. 143,76-464,4/20/40,110,76,6,,0,0,1,1,1,0,0,4,0
Graham v. Brotherhood of Locomotive Firemen & Enginemen,338 U.S. 232,11/71/1949,1949,1940,0,0,upheld,54 Stat. 143,54 Stat. 143,76-464,4/20/40,115,76,6,,0,0,1,1,1,0,0,0,0
Wilmette Park District v. Campbell,338 U.S. 411,12/12/49,1949,1940,0,0,upheld,Revenue Act of 1932,47 Stat. 271,72-154,6/6/32,210,72,5,,0,0,1,1,0,0,1,0,0
United States ex rel. Knauff v. Shaughnessy,338 U.S. 537,1/16/50,1950,1950,0,0,upheld,Alien Visa Act,55 Stat. 252,77-114,6/21/41,103,77,6,,0,0,1,1,0,0,1,3,0
Secretary of Agriculture v. Central Roig Refining Co.,338 U.S. 604,2/6/50,1950,1950,0,0,upheld,Sugar Act of 1948,61 Stat. 922,80-388,8/8/47,30,80,4,5,0,0,1,1,1,0,1,1,1
United States v. Morton Salt Co.,338 U.S. 632,2/6/50,1950,1950,0,0,upheld,Federal Trade Commission Act,38 Stat. 717,63-203,9/26/14,425,63,1,2,1,1,1,1,1,0,1,0,0
Wong Yang Sung v. McGrath,339 U.S. 33,2/20/50,1950,1950,1,1,struck down as applied,Immigration Act of 1917,39 Stat. 885,64-301,2/5/17,396,64,1,,1,0,1,1,1,0,1,1,0
American Communications Association v. Douds,339 U.S. 382,5/8/50,1950,1950,0,0,upheld,Taft-Hartley Act,61 Stat. 146,80-101,6/23/47,35,80,2,4,1,1,1,0,0,0,1,3,1
"Ewing v. Mytinger & Casselberry, Inc.",339 U.S. 594,5/29/50,1950,1950,0,0,upheld,"Federal Food, Drug, and Cosmetic Act",52 Stat. 1044,75-717,6/25/38,143,75,1,,1,0,1,0,1,0,1,2,0
United States v. Texas,339 U.S. 707,6/5/50,1950,1950,0,0,upheld,5 Stat. 797,5 Stat. 797,,3/1/1845,1263,28,4,,1,0,1,0,0,0,1,3,0
Whelchel v. McDonald,340 U.S. 122,12/4/50,1950,1950,0,0,upheld,Federal Possession and Control Act (Railroads in War),39 Stat. 619,64-242,8/29/16,411,64,1,,0,0,1,1,0,0,1,0,0
United States v. Rock Island Motor Transit Co.,340 U.S. 419,2/26/51,1951,1950,0,0,upheld,Interstate Commerce Act Amendment,49 Stat. 543,74-255,8/9/35,186,74,4,,1,0,1,0,1,0,1,4,0
Joint Anti-Fascist Refugee Committee v. McGrath,341 U.S. 123,4/30/51,1951,1950,1,1,struck down as applied,Hatch Act,53 Stat. 1148,76-252,8/2/39,140,76,1,,1,0,1,1,1,0,1,3,0
Tenney v. Brandhove,341 U.S. 367,5/21/51,1951,1950,1,1,struck down as applied,Civil Rights Act of 1871,17 Stat. 13,,4/20/1871,961,42,5,2,1,1,0,1,1,0,0,1,1
Dennis v. United States,341 U.S. 494,6/4/51,1951,1950,0,0,upheld,Alien Registration Act of 1940,54 Stat. 671,76-670,6/28/40,132,76,2,,1,1,1,1,0,0,1,2,0
Collins v. Handyman,341 U.S. 651,6/4/51,1951,1950,1,1,struck down as applied,Civil Rights Act of 1871,17 Stat. 13,,4/20/1871,961,42,5,,1,1,0,1,1,0,0,3,1
International Brotherhood of Electrical Workers et al. v. National Labor Relations Board,341 U.S. 694,6/4/51,1951,1950,0,0,upheld,Taft-Hartley Act,61 Stat. 140,80-101,6/23/47,48,80,2,,1,1,1,1,0,0,1,3,1
Williams v. United States,341 U.S. 97,4/23/51,1951,1950,0,0,upheld,Penal Law Codification of 1909,35 Stat. 1092,60-350,3/4/09,505,60,1,,1,1,1,1,0,0,1,4,1
Lorain Journal Co. v. United States,342 U.S. 143,12/11/51,1951,1950,0,0,upheld,Sherman Anti-Trust Act,26 stat. 209,,7/2/1890,737,51,5,2,1,1,1,0,0,0,1,0,1
Guessefeldt v. McGrath,342 U.S. 308,1/28/52,1952,1950,1,1,struck down as applied,War Claims Act of 1948,62 Stat. 1246,80-896,7/3/48,42,80,4,,0,0,1,1,1,0,1,3,1
Cities Service Co. v. McGrath,342 U.S. 330,1/28/52,1952,1950,0,0,upheld,First War Powers Act of 1941,55 Stat. 839,77-354,12/18/41,121,77,4,,1,0,1,1,0,0,1,0,0
Carson v. Landon,342 U.S. 524,3/10/52,1952,1950,0,0,upheld,Internal Security Act of 1950,64 Stat. 987,81-831,9/23/50,18,81,6,1,1,0,1,0,0,0,1,4,0
Harisiades v. Shaughnessy,342 U.S. 580,3/10/52,1952,1950,0,0,upheld,Alien Registration Act of 1940,54 Stat. 670,76-670,6/28/40,141,76,2,1,1,0,1,1,0,0,1,2,0
United States v. Spector,343 U.S. 169,4/7/52,1952,1950,0,0,upheld,Internal Security Act of 1950,64 Stat. 1010,81-831,9/23/50,19,81,1,,1,0,1,0,1,0,1,3,0
United States v. Cardiff,344 U.S. 174,12/8/52,1952,1950,2,1,struck down on face,"Federal Food, Drug, and Cosmetic Act",52 Stat. 1040,75-717,6/25/38,174,75,1,,1,0,1,1,0,1,1,1,0
American Trucking Association v. United States,344 U.S. 298,1/12/53,1953,1950,0,0,upheld,Interstate Commerce Act Amendment,49 Stat. 543,74-255,8/9/35,89,74,4,,1,0,1,0,0,0,1,2,0
Kwong Hai Chew v. Colding,344 U.S. 590,2/9/53,1953,1950,1,1,struck down as applied,Alien Visa Act,55 Stat. 252,77-114,6/21/41,140,77,1,,0,0,1,1,1,0,1,1,0
Baltimore & Ohio Railroad Company v. United States,345 U.S. 146,3/16/53,1953,1950,0,0,upheld,Transportation Act of 1920,41 Stat. 484,66-152,2/28/20,277,66,4,,1,1,1,0,0,0,1,2,1
Shaughnessy v. United States,345 U.S. 206,3/16/53,1953,1950,0,0,upheld,Alien Visa Act,55 Stat. 252,77-114,6/14/41,141,77,1,,0,0,1,1,1,0,1,4,0
United States v. Kahriger,345 U.S. 22,3/9/53,1953,1950,0,0,upheld,Revenue Act of 1951,65 Stat. 452,82-183,10/20/51,17,82,5,1,0,0,1,0,1,0,1,3,0
Dameron v. Brodhead,345 U.S. 322,4/6/53,1953,1950,0,0,upheld,Soldiers' and Sailors' Civil Relief Act Amendment,58 Stat. 722,78-415,7/3/44,105,78,5,,0,0,1,1,1,0,0,2,0
United States v. Certain Parcels of Land,345 U.S. 344,4/6/53,1953,1950,0,0,upheld,55 Stat. 361,55 Stat. 361,77-137,6/28/41,142,77,4,,0,0,1,1,1,0,1,2,0
United States v. Nugent,346 U.S. 1,6/8/53,1953,1950,0,0,upheld,Selective Training and Service Act of 1940,54 Stat. 885,76-783,9/16/40,153,76,1,,0,0,1,1,1,0,1,3,0
District of Columbia v. John R. Thompson Co.,346 U.S. 100,6/8/53,1953,1950,0,0,upheld,20 Stat. 102,20 Stat. 102,,6/11/1878,900,45,5,,1,0,1,1,1,0,1,0,0
United States v. Five Gambling Devices,346 U.S. 441,12/7/53,1953,1950,1,1,struck down as applied,Gambling Devices Transportation Act,64 Stat. 1134,81-906,1/2/51,35,81,5,1,0,0,1,0,0,0,1,7,0
Adams v. Maryland,347 U.S. 179,3/8/54,1954,1950,0,0,upheld,Attendance of Witnesses Before Congress Act,11 Stat. 156,,1/24/1857,1166,34,5,,0,0,0,1,1,0,0,0,1
Alabama v. Texas,347 U.S. 272,3/15/54,1954,1950,0,0,upheld,67 Stat. 29,67 Stat. 29,83-30,5/22/53,10,83,5,4,1,1,1,0,0,0,0,2,1
Bolling v. Sharpe,347 U.S. 497,5/17/54,1954,1950,2,1,struck down on face,18 Stat. 281,18 Stat. 281,,6/22/1874,899,43,3,,0,0,1,1,0,1,1,0,1
Galvan v. Press,347 U.S. 522,5/24/54,1954,1950,0,0,upheld,Internal Security Act of 1950,64 Stat. 987,81-831,9/23/50,44,81,1,,1,0,1,1,0,0,1,2,0
United States v. Harriss,347 U.S. 612,6/7/54,1954,1950,0,0,upheld,Legislative Reorganization Act of 1946,60 Stat. 839,79-601,8/2/46,94,79,1,2,1,1,1,0,1,0,1,3,0
Moore v. Mead's Fine Bread Co.,348 U.S. 115,12/6/54,1954,1950,0,0,upheld,Antitrust Act of 1914 Amendment,49 Stat. 1526,74-692,6/19/36,222,74,5,,1,1,0,1,1,0,0,0,0
Berman v. Parker,348 U.S. 26,11/22/54,1954,1950,0,0,upheld,District of Columbia Redevelopment Act of 1945,60 Stat. 790,79-592,8/2/46,99,79,4,,0,0,1,0,0,0,1,0,0
Tee-Hit-Ton Indians v. United States,348 U.S. 272,2/7/55,1955,1950,0,0,upheld,61 Stat. 920,61 Stat. 920,80-384,8/8/47,90,80,4,,0,0,1,1,0,0,1,3,1
Lewis v. United States,348 U.S. 419,3/14/55,1955,1950,0,0,upheld,Revenue Act of 1951,65 Stat. 452,82-183,10/20/51,41,82,4,1,0,0,1,1,0,0,1,3,0
Association of Westinghouse Salaried Employees v. Westinghouse Electric Corp.,348 U.S. 437,3/28/55,1955,1950,1,1,struck down as applied,Taft-Hartley Act,61 Stat. 156,80-101,6/23/47,93,80,6,5,1,0,0,1,0,0,0,2,1
Quinn v. United States,349 U.S. 155,5/23/55,1955,1950,1,1,struck down as applied,52 Stat. 942,52 Stat. 942,75-700,6/22/38,203,75,1,,0,0,1,1,1,0,1,2,0
Emspak v. United States,349 U.S. 190,5/23/55,1955,1950,1,1,struck down as applied,52 Stat. 942,52 Stat. 942,75-700,6/22/38,203,75,1,,0,0,1,1,1,0,1,3,0
Marcello v. Bonds,349 U.S. 302,5/31/55,1955,1950,0,0,upheld,Immigration and Nationality Act,66 Stat. 209,82-414,6/27/52,35,82,1,,1,1,1,1,0,0,1,3,0
Federal Power Commission v. Oregon,349 U.S. 435,6/6/55,1955,1950,0,0,upheld,Public Utility Act of 1935,49 Stat. 839,74-333,8/26/35,298,74,5,,1,0,1,1,1,0,1,1,0
United States ex rel. Toth v. Quarles,350 U.S. 11,11/7/55,1955,1950,2,1,struck down on face,Uniform Code of Military Justice,64 Stat. 109,81-506,5/5/50,66,81,1,,0,0,1,1,1,1,1,3,0
Rex Trailer Co. v. United States,350 U.S. 148,1/9/56,1956,1950,0,0,upheld,Surplus Property Act of 1944,58 Stat. 780,78-457,10/3/44,135,78,1,,1,0,1,1,0,0,1,0,0
Bernhardt v. Polygraphic Co. of America,350 U.S. 198,1/16/56,1956,1950,1,1,struck down as applied,Federal Arbitration Act of 1947,61 Stat. 669,80-281,7/20/47,102,80,5,,0,0,0,1,1,0,0,1,1
Greenwood v. United States,350 U.S. 366,3/5/56,1956,1950,0,0,upheld,63 Stat. 686,63 Stat. 686,81-285,9/7/49,78,81,5,1,0,0,1,1,0,0,1,0,0
Cammer v. United States,350 U.S. 399,3/12/56,1956,1950,1,1,struck down as applied,Conspiracy Act of 1948,62 Stat. 701,80-772,6/25/48,93,80,1,,0,0,1,1,1,0,1,0,1
United States v. Green,350 U.S. 415,3/26/56,1956,1950,0,0,upheld,60 Stat. 420,60 Stat. 420,79-486,7/3/46,152,79,5,,0,0,1,0,1,0,1,3,0
Ullman v. United States,350 U.S. 422,3/26/56,1956,1950,0,0,upheld,68 Stat. 745,68 Stat. 745,83-599,8/20/54,55,83,1,5,0,0,1,1,0,0,1,3,1
Railway Employees' Department v. Hanson,351 U.S. 225,5/21/56,1956,1950,0,0,upheld,Railway Labor Act Amendment,64 Stat. 1238,81-914,1/20/51,64,81,4,2,0,0,0,0,1,0,0,0,0
Kinsella v. Krueger,351 U.S. 470,6/11/56,1956,1950,0,0,upheld,Uniform Code of Military Justice,64 Stat. 109,81-506,5/5/50,73,81,1,,0,0,1,1,0,0,1,3,0
United States v. Witkovich,353 U.S. 194,4/29/57,1957,1950,1,1,struck down as applied,Immigration and Nationality Act,66 Stat. 208,82-414,6/27/52,58,82,1,,1,0,1,0,0,0,1,2,0
Textile Workers Union v. Lincoln Mills of Alabama,353 U.S. 448,6/3/57,1957,1950,0,0,upheld,Taft-Hartley Act,61 Stat. 156,80-101,6/23/47,120,80,5,6,1,0,1,1,1,0,0,1,1
California v. Taylor,353 U.S. 553,6/3/57,1957,1950,0,0,upheld,Railway Labor Act,48 Stat. 1185,73-442,6/21/34,276,73,5,,0,0,1,1,0,0,0,0,0
Lehmann v. United States,353 U.S. 685,6/3/57,1957,1950,0,0,upheld,Federal-Aid Highway Act of 1952,66 Stat. 163,82-413,6/27/52,60,82,1,,1,1,0,1,1,0,1,2,0
Reid v. Covert,354 U.S. 1,2/27/57,1957,1950,2,1,struck down on face,Uniform Code of Military Justice,64 Stat. 109,81-506,5/5/50,81,81,1,,0,0,1,0,1,1,1,2,0
Watkins v. United States,354 U.S. 178,6/17/57,1957,1950,1,1,struck down as applied,Legislative Reorganization Act of 1946,60 Stat. 828,79-601,8/2/46,130,79,1,2,1,0,1,1,1,0,1,1,0
Yates v. United States,354 U.S. 298,6/17/57,1957,1950,1,1,struck down as applied,Alien Registration Act of 1940,54 Stat. 671,76-670,6/28/40,204,76,2,,1,1,1,1,1,0,1,3,0
Roth v. United States,354 U.S. 476,6/24/57,1957,1950,0,0,upheld,Crimes and Criminal Procedure Act,62 Stat. 683,80-772,6/25/48,108,80,2,1,0,0,1,1,0,0,1,3,1
United States v. Sharpnack,355 U.S. 286,1/13/58,1958,1950,0,0,upheld,Crimes and Criminal Procedure Act,62 Stat. 686,80-772,6/25/48,115,80,6,5,0,0,1,0,1,0,1,2,1
Green v. United States,356 U.S. 165,3/31/58,1958,1950,0,0,upheld,Crimes and Criminal Procedure Act,62 Stat. 701,80-772,6/25/48,117,80,1,,0,0,1,1,0,0,1,4,1
Perez v. Brownell,356 U.S. 44,3/31/58,1958,1950,0,0,upheld,Nationality Act of 1940 Amendment,58 Stat. 746,78-431,9/27/44,162,78,2,,0,0,1,1,0,0,1,4,0
Trop v. Dulles,356 U.S. 86,3/31/58,1958,1950,2,1,struck down on face,Nationality Act of 1940 Amendment,58 Stat. 4,78-221,1/20/44,170,78,2,,0,0,1,1,1,1,1,4,0
Kent v. Dulles,357 U.S. 116,6/16/58,1958,1950,1,1,struck down as applied,Immigration and Nationality Act,66 Stat. 190,82-414,6/27/52,72,82,2,1,1,0,1,1,1,0,1,4,0
Ivanhoe Irrigation District v. McCracken,357 U.S. 275,6/23/58,1958,1950,0,0,upheld,70 Stat. 524,70 Stat. 524,84-691,7/11/56,23,84,4,,0,0,1,0,1,0,1,0,1
Gore v. United States,357 U.S. 386,6/30/58,1958,1950,0,0,upheld,65 Stat. 767,65 Stat. 767,82-255,11/2/51,79,82,1,,0,0,1,1,0,0,1,4,0
"Federal Housing Administration v. Darlington, Inc.",358 U.S. 84,11/24/58,1958,1950,0,0,upheld,Housing Act of 1954,68 Stat. 610,83-560,8/2/54,51,83,4,1,1,0,1,0,1,0,1,3,1
Lee v. Madigan,358 U.S. 228,1/12/59,1959,1950,1,1,struck down as applied,Uniform Code of Military Justice,64 Stat. 108,81-506,5/5/50,104,81,1,,0,0,1,1,0,0,1,2,0
Cammarano v. United States,358 U.S. 498,2/24/59,1959,1950,0,0,upheld,Revenue Act of 1939,53 Stat. 862,76-155,6/29/39,236,76,2,,0,0,1,1,0,0,1,0,0
Barenblatt v. United States,360 U.S. 109,6/8/59,1959,1950,0,0,upheld,52 Stat. 942,52 Stat. 942,75-700,6/22/38,252,75,1,2,0,0,1,1,1,0,1,4,0
National Labor Relations Board v. Cabot Carbon Co.,360 U.S. 203,6/8/59,1959,1950,0,0,upheld,Taft-Hartley Act,61 Stat. 138,80-101,6/23/47,144,80,2,,1,0,1,1,0,0,1,0,1
Palermo v. United States,360 U.S. 343,6/22/59,1959,1950,0,0,upheld,71 stat. 595,71 stat. 595,85-269,9/2/57,21,85,6,,0,0,1,1,0,0,1,0,0
Pennsylvania Railroad Co. v. Day,360 U.S. 548,6/29/59,1959,1950,0,0,upheld,Railway Labor Act,48 Stat. 1185,73-442,6/21/34,300,73,1,,0,0,0,1,1,0,1,3,0
Braen v. Pfeifer Oil Transportation Co.,361 U.S. 129,12/14/59,1959,1950,0,0,upheld,Merchant Marine Act of 1920,41 Stat. 1007,66-261,6/5/20,462,66,5,,1,0,0,1,1,0,0,3,1
United Steelworkers of America v. United States,361 U.S. 39,11/7/59,1959,1950,0,0,upheld,Taft-Hartley Act,61 Stat. 155,80-101,6/23/47,149,80,6,,1,1,1,1,0,0,1,0,1
Kinsella v. United States,361 U.S. 234,1/18/60,1960,1960,1,1,struck down as applied,Revision of Code relating to Armed Services,70A Stat. 1126,84-1028,8/10/56,41,84,1,,0,0,1,1,1,1,1,2,0
Grisham v. Hagan,361 U.S. 278,1/18/60,1960,1960,1,1,struck down as applied,Revision of Code relating to Armed Services,70A Stat. 1126,84-1028,8/10/56,41,84,1,,0,0,1,1,1,1,1,2,0
McElroy v. United States,361 U.S. 281,1/18/60,1960,1960,1,1,struck down as applied,Revision of Code relating to Armed Services,70A Stat. 1126,84-1028,8/10/56,41,84,1,,0,0,1,0,0,1,1,4,0
United States v. Raines,362 U.S. 17,2/29/60,1960,1960,0,0,upheld,Civil Rights Act of 1957,71 Stat. 637,85-315,9/9/57,29,85,5,,1,1,1,0,1,0,1,0,0
United States v. Manufacturers National Bank,363 U.S. 194,6/13/60,1960,1960,0,0,upheld,Revenue Act of 1942,56 Stat. 944,77-753,10/21/42,212,77,1,4,1,0,1,0,1,0,1,0,0
Hannah v. Larche,363 U.S. 420,6/20/60,1960,1960,0,0,upheld,Civil Rights Act of 1957,71 Stat. 634,85-315,9/9/57,33,85,1,,1,1,1,0,1,0,1,2,0
Flemming v. Nestor,363 U.S. 603,6/20/60,1960,1960,0,0,upheld,Social Security Amendments of 1954,68 Stat. 1083,83-761,9/1/54,69,83,1,,0,0,1,0,1,0,1,4,1
Reina v. United States,364 U.S. 507,12/19/60,1960,1960,0,0,upheld,Narcotic Control Act of 1956,70 Stat. 572,84-728,7/18/56,53,84,5,,1,0,1,1,0,0,1,2,0
Gonzales v. United States,364 U.S. 59,6/27/60,1960,1960,0,0,upheld,Selective Service Act of 1948,62 stat. 622,80-759,6/24/48,144,80,1,,0,0,1,1,0,0,1,4,1
Travis v. United States,364 U.S. 631,1/16/61,1961,1960,1,1,struck down as applied,Crimes and Criminal Procedure Act,62 Stat. 862,80-772,6/25/48,151,80,1,,0,0,1,1,1,0,1,3,1
Eastern Railroad Presidents Conference v. Noerr Motor Freight Inc.,365 U.S. 127,2/20/61,1961,1960,1,1,struck down as applied,Sherman Anti-Trust Act,26 Stat. 209,,7/2/1890,847,51,2,,1,1,0,1,1,0,0,0,1
Wilkinson v. United States,365 U.S. 399,2/27/61,1961,1960,0,0,upheld,52 Stat. 942,52 Stat. 942,75-700,6/22/38,356,75,2,,0,0,1,1,0,0,1,4,0
Braden v. United States,365 U.S. 431,2/27/61,1961,1960,0,0,upheld,52 Stat. 942,52 Stat. 942,75-700,6/22/38,356,75,2,,0,0,1,1,0,0,1,4,0
United States v. Oregon,366 U.S. 643,5/29/61,1961,1960,0,0,upheld,36 Stat. 736,36 Stat. 736,61-266,6/25/10,731,61,5,,0,0,1,1,1,0,1,2,1
Communist Party of United States v. Subversive Activities Control Board,367 U.S. 1,6/5/61,1961,1960,0,0,upheld,Internal Security Act of 1950,64 Stat. 987,81-831,9/23/50,129,81,1,2,1,1,1,1,0,0,1,4,0
Scales v. United States,367 U.S. 203,6/5/61,1961,1960,0,0,upheld,Internal Security Act of 1950,64 Stat. 987,81-831,9/23/50,129,81,1,2,1,0,1,1,0,0,1,4,0
International Association of Machinists v. Street,367 U.S. 740,6/19/61,1961,1960,1,1,struck down as applied,Railway Labor Act Amendment,64 Stat. 1238,81-914,1/10/51,125,81,2,,0,0,1,0,1,0,0,4,0
Cafeteria & Restaurant Workers Union v. McElroy,367 U.S. 886,6/19/61,1961,1960,0,0,upheld,12 Stat. 565,12 Stat. 565,,7/14/1862,1187,37,1,,0,0,1,1,0,0,1,4,1
Killian v. United States,368 U.S. 231,10/10/61,1961,1960,0,0,upheld,Taft-Hartley Act,61 Stat. 146,80-101,6/23/47,172,80,2,,1,1,1,1,0,0,1,4,1
Hutcheson v. United States,369 U.S. 599,5/14/62,1962,1960,0,0,upheld,52 Stat. 942,52 Stat. 942,75-700,6/22/38,287,75,6,1,0,0,1,1,0,0,1,2,0
Free v. Bland,369 U.S. 663,5/21/62,1962,1960,0,0,upheld,Gold Reserve Act of 1934,48 Stat. 343,73-87,1/30/34,340,73,5,,0,0,1,1,1,0,0,0,0
Lynch v. Overholser,369 U.S. 705,5/21/62,1962,1960,1,1,struck down as applied,59 Stat. 311,59 Stat. 311,79-111,7/2/45,202,79,1,,0,0,1,1,1,0,1,1,0
